,size,floor,district,metro,rooms,renovation,price,size_fuzz,floor_fuzz,metro_fuzz,rooms_fuzz,price_fuzz
1001,60,14,Печерський,2033,1,old,11775,Normal,High,Normal,Few,Cheap
1002,61,10,Дарницький,2453,2,old,33937,Normal,Normal,Normal,Normal,Normal
1003,76,12,Дніпровський,2340,1,new,26367,Large,Normal,Normal,Few,Cheap
1004,40,5,Соломянський,4135,2,classic,64203,Normal,Normal,Far,Normal,Expensive
1005,59,20,Соломянський,3352,3,classic,13094,Normal,High,Far,Normal,Cheap
1006,37,24,Соломянський,3333,1,new,57173,Normal,High,Far,Few,Expensive
1007,44,15,Деснянський,3454,3,fashion,79575,Normal,High,Far,Normal,Expensive
1008,36,24,Голосіївський,3344,2,new,83415,Normal,High,Far,Normal,Expensive
1009,74,23,Деснянський,1251,1,new,22826,Large,High,Normal,Few,Cheap
1010,33,14,Святошинський,3719,3,fashion,75119,Small,High,Far,Normal,Expensive
1011,45,15,Голосіївський,3246,2,new,23797,Normal,High,Far,Normal,Cheap
1012,36,20,Дарницький,1550,2,new,95064,Normal,High,Normal,Normal,Expensive
1013,58,12,Соломянський,410,2,new,77713,Normal,Normal,Near,Normal,Expensive
1014,69,4,Деснянський,1934,2,classic,46531,Large,Low,Normal,Normal,Normal
1015,89,12,Деснянський,4042,3,fashion,43550,Large,Normal,Far,Normal,Normal
1016,89,17,Деснянський,3184,3,classic,62136,Large,High,Far,Normal,Expensive
1017,65,23,Печерський,4848,3,fashion,49091,Normal,High,Far,Normal,Normal
1018,95,11,Печерський,1138,2,classic,85629,Large,Normal,Normal,Normal,Expensive
1019,62,17,Святошинський,1359,1,new,90771,Normal,High,Normal,Few,Expensive
1020,77,4,Подільський,4204,3,new,94010,Large,Low,Far,Normal,Expensive
1021,75,1,Голосіївський,2376,3,classic,66886,Large,Low,Normal,Normal,Expensive
1022,50,3,Деснянський,640,3,new,62124,Normal,Low,Normal,Normal,Expensive
1023,28,16,Подільський,1764,1,old,33257,Small,High,Normal,Few,Normal
1024,69,18,Святошинський,759,3,fashion,77109,Large,High,Normal,Normal,Expensive
1025,65,23,Деснянський,4006,2,classic,25648,Normal,High,Far,Normal,Cheap
1026,95,8,Печерський,2609,2,new,63749,Large,Normal,Far,Normal,Expensive
1027,22,20,Оболонський,2563,3,classic,92503,Small,High,Far,Normal,Expensive
1028,40,1,Подільський,728,2,fashion,54763,Normal,Low,Normal,Normal,Expensive
1029,98,4,Деснянський,1746,1,classic,56876,Large,Low,Normal,Few,Expensive
1030,44,19,Святошинський,3240,3,fashion,63427,Normal,High,Far,Normal,Expensive
1031,79,24,Голосіївський,2954,1,new,49533,Large,High,Far,Few,Normal
1032,30,11,Соломянський,4799,1,fashion,31885,Small,Normal,Far,Few,Normal
1033,32,19,Дніпровський,4653,1,fashion,76998,Small,High,Far,Few,Expensive
1034,24,10,Деснянський,4084,3,old,88030,Small,Normal,Far,Normal,Expensive
1035,32,21,Оболонський,3114,1,fashion,91874,Small,High,Far,Few,Expensive
1036,20,6,Подільський,1184,3,fashion,70067,Small,Normal,Normal,Normal,Expensive
1037,75,2,Печерський,3403,2,new,17180,Large,Low,Far,Normal,Cheap
1038,56,18,Дарницький,3372,3,classic,54211,Normal,High,Far,Normal,Expensive
1039,29,15,Святошинський,1093,2,new,24155,Small,High,Normal,Normal,Cheap
1040,70,18,Голосіївський,1653,1,fashion,74798,Large,High,Normal,Few,Expensive
1041,94,16,Оболонський,2296,3,fashion,42219,Large,High,Normal,Normal,Normal
1042,75,3,Голосіївський,3010,2,fashion,38955,Large,Low,Far,Normal,Normal
1043,68,10,Оболонський,4587,2,fashion,21557,Large,Normal,Far,Normal,Cheap
1044,65,24,Шевченківський,4769,1,new,87769,Normal,High,Far,Few,Expensive
1045,58,3,Святошинський,2284,1,classic,74435,Normal,Low,Normal,Few,Expensive
1046,40,15,Деснянський,3026,2,old,34660,Normal,High,Far,Normal,Normal
1047,61,3,Соломянський,3071,3,fashion,30579,Normal,Low,Far,Normal,Normal
1048,56,19,Подільський,1570,1,classic,36038,Normal,High,Normal,Few,Normal
1049,61,13,Дарницький,2589,1,classic,68444,Normal,High,Far,Few,Expensive
1050,54,12,Соломянський,1958,2,new,98101,Normal,Normal,Normal,Normal,Expensive
1051,28,6,Подільський,4108,2,new,69052,Small,Normal,Far,Normal,Expensive
1052,37,15,Деснянський,2908,2,classic,90084,Normal,High,Far,Normal,Expensive
1053,62,6,Святошинський,4143,2,old,66119,Normal,Normal,Far,Normal,Expensive
1054,61,7,Голосіївський,3341,1,old,65028,Normal,Normal,Far,Few,Expensive
1055,53,20,Святошинський,1941,3,new,83377,Normal,High,Normal,Normal,Expensive
1056,49,13,Дарницький,4328,2,classic,77913,Normal,High,Far,Normal,Expensive
1057,29,2,Оболонський,4554,3,fashion,41057,Small,Low,Far,Normal,Normal
1058,45,4,Голосіївський,1664,3,new,89381,Normal,Low,Normal,Normal,Expensive
1059,53,23,Святошинський,552,2,fashion,58885,Normal,High,Normal,Normal,Expensive
1060,44,16,Голосіївський,2243,1,old,28216,Normal,High,Normal,Few,Cheap
1061,72,20,Дарницький,611,2,classic,19052,Large,High,Normal,Normal,Cheap
1062,38,16,Оболонський,4610,3,old,45229,Normal,High,Far,Normal,Normal
1063,38,10,Святошинський,721,2,old,58400,Normal,Normal,Normal,Normal,Expensive
1064,46,12,Подільський,1885,2,fashion,20488,Normal,Normal,Normal,Normal,Cheap
1065,73,7,Дніпровський,2765,2,old,25581,Large,Normal,Far,Normal,Cheap
1066,92,14,Голосіївський,909,3,new,79322,Large,High,Normal,Normal,Expensive
1067,22,14,Дарницький,3701,1,fashion,83967,Small,High,Far,Few,Expensive
1068,48,5,Святошинський,1760,2,old,90191,Normal,Normal,Normal,Normal,Expensive
1069,95,20,Оболонський,4094,2,new,88979,Large,High,Far,Normal,Expensive
1070,41,8,Голосіївський,1498,1,old,63824,Normal,Normal,Normal,Few,Expensive
1071,81,14,Шевченківський,3743,3,classic,83830,Large,High,Far,Normal,Expensive
1072,79,18,Дарницький,4056,2,fashion,78460,Large,High,Far,Normal,Expensive
1073,65,19,Святошинський,2948,3,fashion,88167,Normal,High,Far,Normal,Expensive
1074,51,24,Голосіївський,3333,3,new,46712,Normal,High,Far,Normal,Normal
1075,93,3,Деснянський,4418,1,new,50995,Large,Low,Far,Few,Expensive
1076,75,8,Подільський,169,3,fashion,43402,Large,Normal,Near,Normal,Normal
1077,34,23,Деснянський,4288,2,fashion,30930,Small,High,Far,Normal,Normal
1078,44,10,Святошинський,3489,1,new,26200,Normal,Normal,Far,Few,Cheap
1079,87,20,Оболонський,2855,2,fashion,61405,Large,High,Far,Normal,Expensive
1080,72,1,Подільський,2260,2,new,27228,Large,Low,Normal,Normal,Cheap
1081,46,11,Подільський,2305,3,old,52595,Normal,Normal,Normal,Normal,Expensive
1082,26,6,Оболонський,3708,2,classic,64917,Small,Normal,Far,Normal,Expensive
1083,87,2,Подільський,1404,2,classic,33468,Large,Low,Normal,Normal,Normal
1084,60,10,Соломянський,2893,1,old,31523,Normal,Normal,Far,Few,Normal
1085,70,15,Оболонський,2818,1,old,39806,Large,High,Far,Few,Normal
1086,98,9,Подільський,4392,3,old,18299,Large,Normal,Far,Normal,Cheap
1087,27,5,Голосіївський,1248,3,classic,49401,Small,Normal,Normal,Normal,Normal
1088,32,18,Соломянський,1124,3,fashion,41841,Small,High,Normal,Normal,Normal
1089,47,15,Святошинський,3952,2,old,26263,Normal,High,Far,Normal,Cheap
1090,25,4,Оболонський,971,2,old,57637,Small,Low,Normal,Normal,Expensive
1091,29,10,Святошинський,1198,2,new,98915,Small,Normal,Normal,Normal,Expensive
1092,71,24,Соломянський,871,2,new,12143,Large,High,Normal,Normal,Cheap
1093,52,3,Святошинський,4201,2,new,52875,Normal,Low,Far,Normal,Expensive
1094,79,13,Дарницький,454,1,new,77526,Large,High,Near,Few,Expensive
1095,29,23,Подільський,2824,1,new,11345,Small,High,Far,Few,Cheap
1096,44,22,Оболонський,2451,2,old,77124,Normal,High,Normal,Normal,Expensive
1097,50,10,Голосіївський,744,1,old,38547,Normal,Normal,Normal,Few,Normal
1098,43,10,Печерський,3726,2,new,56132,Normal,Normal,Far,Normal,Expensive
1099,71,18,Дарницький,1406,1,classic,63524,Large,High,Normal,Few,Expensive
1100,96,2,Подільський,4294,1,old,56379,Large,Low,Far,Few,Expensive
1101,25,5,Деснянський,1186,2,new,24027,Small,Normal,Normal,Normal,Cheap
1102,53,20,Дніпровський,825,1,fashion,36149,Normal,High,Normal,Few,Normal
1103,24,22,Дарницький,948,1,new,98192,Small,High,Normal,Few,Expensive
1104,88,15,Дніпровський,2058,3,fashion,54488,Large,High,Normal,Normal,Expensive
1105,62,24,Соломянський,4013,3,new,93242,Normal,High,Far,Normal,Expensive
1106,70,18,Голосіївський,2535,1,old,70087,Large,High,Far,Few,Expensive
1107,39,4,Святошинський,4389,3,new,31073,Normal,Low,Far,Normal,Normal
1108,77,21,Шевченківський,4333,3,old,85597,Large,High,Far,Normal,Expensive
1109,42,5,Соломянський,1681,3,new,36146,Normal,Normal,Normal,Normal,Normal
1110,76,15,Соломянський,4064,3,fashion,90074,Large,High,Far,Normal,Expensive
1111,75,10,Оболонський,509,2,classic,66011,Large,Normal,Normal,Normal,Expensive
1112,96,7,Деснянський,2923,1,fashion,21156,Large,Normal,Far,Few,Cheap
1113,64,2,Печерський,3439,3,fashion,97739,Normal,Low,Far,Normal,Expensive
1114,63,17,Деснянський,2049,2,old,98640,Normal,High,Normal,Normal,Expensive
1115,26,15,Святошинський,2010,1,classic,95764,Small,High,Normal,Few,Expensive
1116,70,20,Дніпровський,3676,3,old,90352,Large,High,Far,Normal,Expensive
1117,88,9,Шевченківський,920,1,old,18629,Large,Normal,Normal,Few,Cheap
1118,50,5,Святошинський,1799,2,classic,36766,Normal,Normal,Normal,Normal,Normal
1119,85,4,Подільський,2536,3,new,12970,Large,Low,Far,Normal,Cheap
1120,89,8,Святошинський,3967,2,classic,92127,Large,Normal,Far,Normal,Expensive
1121,48,24,Соломянський,318,2,old,89950,Normal,High,Near,Normal,Expensive
1122,98,7,Соломянський,3099,3,new,12078,Large,Normal,Far,Normal,Cheap
1123,44,1,Подільський,1410,2,classic,95439,Normal,Low,Normal,Normal,Expensive
1124,66,10,Голосіївський,1119,2,classic,55507,Large,Normal,Normal,Normal,Expensive
1125,79,15,Печерський,1655,2,new,94542,Large,High,Normal,Normal,Expensive
1126,75,14,Голосіївський,874,1,classic,17982,Large,High,Normal,Few,Cheap
1127,63,12,Соломянський,3376,2,new,22157,Normal,Normal,Far,Normal,Cheap
1128,82,1,Голосіївський,1205,2,fashion,14862,Large,Low,Normal,Normal,Cheap
1129,34,2,Святошинський,426,2,new,36033,Small,Low,Near,Normal,Normal
1130,57,18,Голосіївський,3844,2,new,64510,Normal,High,Far,Normal,Expensive
1131,91,23,Печерський,4212,3,old,54000,Large,High,Far,Normal,Expensive
1132,72,2,Подільський,3620,3,fashion,23409,Large,Low,Far,Normal,Cheap
1133,55,6,Голосіївський,2290,1,fashion,20519,Normal,Normal,Normal,Few,Cheap
1134,83,11,Дніпровський,1999,1,fashion,37109,Large,Normal,Normal,Few,Normal
1135,77,18,Печерський,3452,2,new,85110,Large,High,Far,Normal,Expensive
1136,37,21,Соломянський,3459,2,fashion,54324,Normal,High,Far,Normal,Expensive
1137,77,3,Дарницький,3710,1,old,70491,Large,Low,Far,Few,Expensive
1138,22,13,Дарницький,3148,1,new,82209,Small,High,Far,Few,Expensive
1139,66,7,Оболонський,2825,2,new,29002,Large,Normal,Far,Normal,Cheap
1140,22,23,Дніпровський,1714,1,classic,58454,Small,High,Normal,Few,Expensive
1141,71,17,Шевченківський,981,2,fashion,29770,Large,High,Normal,Normal,Cheap
1142,67,13,Деснянський,2535,1,classic,50208,Large,High,Far,Few,Expensive
1143,81,16,Шевченківський,970,3,fashion,23359,Large,High,Normal,Normal,Cheap
1144,33,10,Оболонський,2488,1,new,22316,Small,Normal,Normal,Few,Cheap
1145,91,6,Шевченківський,3593,2,classic,23054,Large,Normal,Far,Normal,Cheap
1146,41,18,Соломянський,2038,3,old,65107,Normal,High,Normal,Normal,Expensive
1147,40,3,Оболонський,1629,1,fashion,89599,Normal,Low,Normal,Few,Expensive
1148,74,13,Дніпровський,1194,3,old,89337,Large,High,Normal,Normal,Expensive
1149,55,7,Деснянський,1357,3,old,26228,Normal,Normal,Normal,Normal,Cheap
1150,83,3,Печерський,3842,3,new,29650,Large,Low,Far,Normal,Cheap
1151,93,22,Печерський,826,3,fashion,58221,Large,High,Normal,Normal,Expensive
1152,21,15,Голосіївський,1096,1,old,98953,Small,High,Normal,Few,Expensive
1153,75,18,Деснянський,4962,3,old,35963,Large,High,Far,Normal,Normal
1154,61,24,Печерський,4354,1,old,90198,Normal,High,Far,Few,Expensive
1155,84,21,Голосіївський,2673,2,new,84200,Large,High,Far,Normal,Expensive
1156,97,4,Деснянський,1266,2,new,30673,Large,Low,Normal,Normal,Normal
1157,65,12,Дніпровський,2707,3,classic,61995,Normal,Normal,Far,Normal,Expensive
1158,66,24,Дарницький,3561,3,classic,52877,Large,High,Far,Normal,Expensive
1159,44,3,Святошинський,878,1,fashion,85230,Normal,Low,Normal,Few,Expensive
1160,89,10,Дарницький,3177,2,classic,68828,Large,Normal,Far,Normal,Expensive
1161,25,3,Дарницький,3044,1,new,38233,Small,Low,Far,Few,Normal
1162,46,5,Шевченківський,436,3,old,81565,Normal,Normal,Near,Normal,Expensive
1163,65,18,Дарницький,924,2,fashion,40726,Normal,High,Normal,Normal,Normal
1164,50,11,Деснянський,4617,3,new,52653,Normal,Normal,Far,Normal,Expensive
1165,72,11,Святошинський,1511,3,fashion,90694,Large,Normal,Normal,Normal,Expensive
1166,51,4,Печерський,2348,3,fashion,49194,Normal,Low,Normal,Normal,Normal
1167,71,21,Печерський,4870,3,fashion,41552,Large,High,Far,Normal,Normal
1168,91,7,Святошинський,3447,3,new,54783,Large,Normal,Far,Normal,Expensive
1169,25,16,Деснянський,4378,1,fashion,82077,Small,High,Far,Few,Expensive
1170,66,24,Оболонський,273,3,fashion,15155,Large,High,Near,Normal,Cheap
1171,77,16,Святошинський,1480,3,new,85414,Large,High,Normal,Normal,Expensive
1172,50,19,Соломянський,101,2,new,51987,Normal,High,Near,Normal,Expensive
1173,31,8,Оболонський,3780,2,old,46504,Small,Normal,Far,Normal,Normal
1174,98,8,Соломянський,1506,1,new,25445,Large,Normal,Normal,Few,Cheap
1175,86,16,Дарницький,3043,3,classic,14819,Large,High,Far,Normal,Cheap
1176,81,22,Печерський,1411,2,new,86167,Large,High,Normal,Normal,Expensive
1177,80,2,Печерський,4436,3,new,10375,Large,Low,Far,Normal,Cheap
1178,39,2,Дніпровський,2985,2,old,39845,Normal,Low,Far,Normal,Normal
1179,93,7,Подільський,4831,1,classic,33396,Large,Normal,Far,Few,Normal
1180,59,1,Дніпровський,3308,3,old,45155,Normal,Low,Far,Normal,Normal
1181,26,7,Дніпровський,3331,2,new,91133,Small,Normal,Far,Normal,Expensive
1182,38,4,Голосіївський,3632,3,new,53889,Normal,Low,Far,Normal,Expensive
1183,71,8,Соломянський,1106,3,fashion,63463,Large,Normal,Normal,Normal,Expensive
1184,91,2,Дніпровський,3999,2,new,45514,Large,Low,Far,Normal,Normal
1185,57,13,Соломянський,1921,2,new,29439,Normal,High,Normal,Normal,Cheap
1186,74,19,Печерський,1277,1,classic,27349,Large,High,Normal,Few,Cheap
1187,93,20,Оболонський,3770,2,new,47749,Large,High,Far,Normal,Normal
1188,70,14,Деснянський,1728,3,fashion,72891,Large,High,Normal,Normal,Expensive
1189,84,13,Святошинський,855,2,fashion,41872,Large,High,Normal,Normal,Normal
1190,25,5,Шевченківський,2125,3,old,87059,Small,Normal,Normal,Normal,Expensive
1191,29,23,Дніпровський,412,3,fashion,11521,Small,High,Near,Normal,Cheap
1192,69,23,Святошинський,2482,2,new,49751,Large,High,Normal,Normal,Normal
1193,79,22,Печерський,825,1,classic,45119,Large,High,Normal,Few,Normal
1194,22,17,Шевченківський,2081,3,new,57878,Small,High,Normal,Normal,Expensive
1195,71,17,Дніпровський,3461,3,new,46024,Large,High,Far,Normal,Normal
1196,61,19,Шевченківський,4870,3,fashion,94032,Normal,High,Far,Normal,Expensive
1197,50,14,Дарницький,1133,2,classic,98270,Normal,High,Normal,Normal,Expensive
1198,31,14,Святошинський,417,1,fashion,59664,Small,High,Near,Few,Expensive
1199,22,16,Печерський,1622,1,new,26352,Small,High,Normal,Few,Cheap
1200,74,19,Шевченківський,2495,2,new,95070,Large,High,Normal,Normal,Expensive
1201,29,2,Соломянський,2104,1,classic,74809,Small,Low,Normal,Few,Expensive
1202,29,4,Печерський,1651,2,old,58001,Small,Low,Normal,Normal,Expensive
1203,97,8,Голосіївський,1228,3,old,23597,Large,Normal,Normal,Normal,Cheap
1204,54,1,Святошинський,1490,3,old,40309,Normal,Low,Normal,Normal,Normal
1205,56,16,Оболонський,3574,3,new,71316,Normal,High,Far,Normal,Expensive
1206,78,13,Голосіївський,1849,2,old,65382,Large,High,Normal,Normal,Expensive
1207,68,10,Подільський,4766,3,old,83814,Large,Normal,Far,Normal,Expensive
1208,32,17,Голосіївський,3260,1,fashion,73981,Small,High,Far,Few,Expensive
1209,35,21,Дарницький,2092,1,new,62884,Small,High,Normal,Few,Expensive
1210,96,8,Дарницький,1936,1,fashion,65282,Large,Normal,Normal,Few,Expensive
1211,81,20,Голосіївський,3136,1,old,43175,Large,High,Far,Few,Normal
1212,34,14,Святошинський,4513,3,old,44538,Small,High,Far,Normal,Normal
1213,57,16,Соломянський,1173,1,new,39519,Normal,High,Normal,Few,Normal
1214,91,1,Дніпровський,3248,2,new,18185,Large,Low,Far,Normal,Cheap
1215,60,21,Святошинський,1749,1,classic,32756,Normal,High,Normal,Few,Normal
1216,62,3,Соломянський,2640,3,fashion,71410,Normal,Low,Far,Normal,Expensive
1217,33,1,Голосіївський,891,2,new,59738,Small,Low,Normal,Normal,Expensive
1218,31,19,Деснянський,4197,3,new,77298,Small,High,Far,Normal,Expensive
1219,23,19,Святошинський,1310,3,old,43843,Small,High,Normal,Normal,Normal
1220,32,16,Оболонський,3335,2,fashion,21852,Small,High,Far,Normal,Cheap
1221,61,19,Святошинський,4589,3,new,25461,Normal,High,Far,Normal,Cheap
1222,71,1,Святошинський,3808,2,classic,60555,Large,Low,Far,Normal,Expensive
1223,31,8,Дніпровський,2858,1,classic,72433,Small,Normal,Far,Few,Expensive
1224,95,3,Голосіївський,1752,1,classic,55693,Large,Low,Normal,Few,Expensive
1225,30,12,Подільський,3871,3,old,17063,Small,Normal,Far,Normal,Cheap
1226,53,21,Святошинський,3413,1,fashion,99522,Normal,High,Far,Few,Expensive
1227,99,21,Печерський,1508,3,new,40465,Large,High,Normal,Normal,Normal
1228,91,3,Дарницький,1399,1,classic,81549,Large,Low,Normal,Few,Expensive
1229,93,22,Дніпровський,455,3,fashion,36729,Large,High,Near,Normal,Normal
1230,54,22,Голосіївський,2563,2,fashion,50844,Normal,High,Far,Normal,Expensive
1231,77,7,Оболонський,2155,3,old,44984,Large,Normal,Normal,Normal,Normal
1232,88,14,Дніпровський,1237,1,classic,10939,Large,High,Normal,Few,Cheap
1233,70,23,Святошинський,1934,2,classic,40921,Large,High,Normal,Normal,Normal
1234,84,11,Подільський,2037,2,fashion,87347,Large,Normal,Normal,Normal,Expensive
1235,83,20,Святошинський,1178,3,old,90309,Large,High,Normal,Normal,Expensive
1236,77,3,Печерський,720,2,fashion,83576,Large,Low,Normal,Normal,Expensive
1237,38,9,Святошинський,2252,1,old,69303,Normal,Normal,Normal,Few,Expensive
1238,38,11,Печерський,576,3,new,51513,Normal,Normal,Normal,Normal,Expensive
1239,32,1,Подільський,3417,1,old,87735,Small,Low,Far,Few,Expensive
1240,89,15,Святошинський,1545,1,classic,35758,Large,High,Normal,Few,Normal
1241,80,14,Голосіївський,844,2,old,93375,Large,High,Normal,Normal,Expensive
1242,87,12,Подільський,2669,1,new,12702,Large,Normal,Far,Few,Cheap
1243,23,12,Оболонський,3888,2,old,97893,Small,Normal,Far,Normal,Expensive
1244,59,5,Печерський,3882,3,new,40609,Normal,Normal,Far,Normal,Normal
1245,38,19,Печерський,4873,1,new,82628,Normal,High,Far,Few,Expensive
1246,62,21,Дарницький,2723,2,new,40542,Normal,High,Far,Normal,Normal
1247,50,3,Голосіївський,2511,3,new,80780,Normal,Low,Far,Normal,Expensive
1248,93,17,Оболонський,1764,3,classic,30844,Large,High,Normal,Normal,Normal
1249,97,16,Оболонський,1502,3,fashion,63656,Large,High,Normal,Normal,Expensive
1250,51,4,Дарницький,1974,2,new,24535,Normal,Low,Normal,Normal,Cheap
1251,75,8,Дніпровський,1243,1,classic,57188,Large,Normal,Normal,Few,Expensive
1252,65,15,Дніпровський,4163,3,classic,77332,Normal,High,Far,Normal,Expensive
1253,95,6,Святошинський,3341,3,new,47929,Large,Normal,Far,Normal,Normal
1254,91,8,Печерський,1431,3,new,83883,Large,Normal,Normal,Normal,Expensive
1255,56,15,Деснянський,579,2,fashion,55224,Normal,High,Normal,Normal,Expensive
1256,62,20,Деснянський,2828,2,fashion,98861,Normal,High,Far,Normal,Expensive
1257,95,21,Дарницький,3253,1,fashion,44927,Large,High,Far,Few,Normal
1258,67,7,Печерський,2593,3,fashion,49571,Large,Normal,Far,Normal,Normal
1259,69,18,Печерський,3713,2,classic,90271,Large,High,Far,Normal,Expensive
1260,74,22,Подільський,3300,2,fashion,57031,Large,High,Far,Normal,Expensive
1261,88,22,Дарницький,1754,2,old,82212,Large,High,Normal,Normal,Expensive
1262,63,14,Оболонський,1217,1,old,76874,Normal,High,Normal,Few,Expensive
1263,64,7,Подільський,4606,2,classic,33727,Normal,Normal,Far,Normal,Normal
1264,87,22,Святошинський,1720,3,old,74809,Large,High,Normal,Normal,Expensive
1265,21,2,Подільський,4125,2,fashion,57687,Small,Low,Far,Normal,Expensive
1266,45,18,Оболонський,2096,3,fashion,32931,Normal,High,Normal,Normal,Normal
1267,70,14,Дарницький,4042,2,classic,70506,Large,High,Far,Normal,Expensive
1268,67,22,Деснянський,4542,3,new,64171,Large,High,Far,Normal,Expensive
1269,66,5,Дарницький,2839,3,classic,12873,Large,Normal,Far,Normal,Cheap
1270,20,17,Шевченківський,4315,3,fashion,40379,Small,High,Far,Normal,Normal
1271,81,15,Святошинський,4142,1,old,59904,Large,High,Far,Few,Expensive
1272,77,17,Дарницький,277,3,fashion,52341,Large,High,Near,Normal,Expensive
1273,37,1,Шевченківський,1152,2,classic,17543,Normal,Low,Normal,Normal,Cheap
1274,51,6,Оболонський,2518,2,fashion,99700,Normal,Normal,Far,Normal,Expensive
1275,92,19,Голосіївський,388,3,fashion,99206,Large,High,Near,Normal,Expensive
1276,32,8,Голосіївський,1951,1,new,34509,Small,Normal,Normal,Few,Normal
1277,66,2,Дніпровський,4297,3,old,55384,Large,Low,Far,Normal,Expensive
1278,75,13,Деснянський,3686,2,old,11489,Large,High,Far,Normal,Cheap
1279,97,21,Деснянський,675,3,fashion,76135,Large,High,Normal,Normal,Expensive
1280,47,21,Дарницький,1149,1,old,91098,Normal,High,Normal,Few,Expensive
1281,97,7,Деснянський,2134,1,classic,36838,Large,Normal,Normal,Few,Normal
1282,50,17,Оболонський,3573,1,classic,91760,Normal,High,Far,Few,Expensive
1283,93,7,Шевченківський,3418,3,classic,17468,Large,Normal,Far,Normal,Cheap
1284,29,17,Дніпровський,261,1,old,85913,Small,High,Near,Few,Expensive
1285,41,15,Подільський,4698,3,new,77340,Normal,High,Far,Normal,Expensive
1286,39,14,Голосіївський,2129,2,classic,48169,Normal,High,Normal,Normal,Normal
1287,31,16,Оболонський,1340,2,new,46450,Small,High,Normal,Normal,Normal
1288,23,18,Шевченківський,1944,2,classic,10887,Small,High,Normal,Normal,Cheap
1289,58,12,Оболонський,905,3,new,95069,Normal,Normal,Normal,Normal,Expensive
1290,40,13,Голосіївський,1274,2,new,66223,Normal,High,Normal,Normal,Expensive
1291,91,23,Дніпровський,406,1,fashion,48815,Large,High,Near,Few,Normal
1292,63,8,Соломянський,407,2,fashion,50310,Normal,Normal,Near,Normal,Expensive
1293,67,11,Подільський,523,2,new,11356,Large,Normal,Normal,Normal,Cheap
1294,80,1,Дніпровський,2184,2,classic,20646,Large,Low,Normal,Normal,Cheap
1295,28,20,Оболонський,4728,2,fashion,11470,Small,High,Far,Normal,Cheap
1296,74,15,Дарницький,4019,3,fashion,39392,Large,High,Far,Normal,Normal
1297,70,7,Дніпровський,1827,3,classic,51529,Large,Normal,Normal,Normal,Expensive
1298,58,1,Святошинський,934,2,old,58414,Normal,Low,Normal,Normal,Expensive
1299,29,20,Шевченківський,2644,3,new,81337,Small,High,Far,Normal,Expensive
1300,77,2,Соломянський,4387,3,old,86712,Large,Low,Far,Normal,Expensive
1301,87,19,Оболонський,3480,2,fashion,50479,Large,High,Far,Normal,Expensive
1302,84,12,Подільський,2398,1,classic,83555,Large,Normal,Normal,Few,Expensive
1303,20,22,Подільський,1878,3,old,86952,Small,High,Normal,Normal,Expensive
1304,79,5,Оболонський,3182,2,new,89596,Large,Normal,Far,Normal,Expensive
1305,21,17,Дарницький,1274,3,fashion,53752,Small,High,Normal,Normal,Expensive
1306,48,13,Дніпровський,4231,2,old,67288,Normal,High,Far,Normal,Expensive
1307,42,11,Подільський,1169,1,new,51512,Normal,Normal,Normal,Few,Expensive
1308,96,16,Голосіївський,1739,1,classic,35677,Large,High,Normal,Few,Normal
1309,22,8,Шевченківський,3019,2,new,29752,Small,Normal,Far,Normal,Cheap
1310,66,5,Печерський,893,1,old,52202,Large,Normal,Normal,Few,Expensive
1311,55,20,Шевченківський,613,3,old,64961,Normal,High,Normal,Normal,Expensive
1312,35,15,Подільський,1932,2,fashion,34082,Small,High,Normal,Normal,Normal
1313,60,21,Шевченківський,1693,3,new,55153,Normal,High,Normal,Normal,Expensive
1314,61,8,Дніпровський,2864,3,old,71965,Normal,Normal,Far,Normal,Expensive
1315,59,19,Шевченківський,1682,2,classic,79243,Normal,High,Normal,Normal,Expensive
1316,68,20,Голосіївський,4338,1,new,17549,Large,High,Far,Few,Cheap
1317,80,3,Подільський,3126,2,old,75130,Large,Low,Far,Normal,Expensive
1318,91,16,Дарницький,1172,2,new,69965,Large,High,Normal,Normal,Expensive
1319,54,19,Печерський,4913,1,fashion,46300,Normal,High,Far,Few,Normal
1320,62,4,Оболонський,4574,3,new,65923,Normal,Low,Far,Normal,Expensive
1321,90,18,Оболонський,2919,3,fashion,83409,Large,High,Far,Normal,Expensive
1322,96,2,Святошинський,4956,2,old,42719,Large,Low,Far,Normal,Normal
1323,66,18,Дарницький,3603,2,new,28019,Large,High,Far,Normal,Cheap
1324,36,5,Печерський,1240,2,classic,32910,Normal,Normal,Normal,Normal,Normal
1325,66,16,Деснянський,2716,3,new,38703,Large,High,Far,Normal,Normal
1326,80,17,Деснянський,789,2,classic,45690,Large,High,Normal,Normal,Normal
1327,84,7,Соломянський,4671,3,fashion,67616,Large,Normal,Far,Normal,Expensive
1328,54,11,Оболонський,2835,3,new,39651,Normal,Normal,Far,Normal,Normal
1329,42,23,Шевченківський,1783,3,old,45038,Normal,High,Normal,Normal,Normal
1330,94,15,Соломянський,1545,1,new,83382,Large,High,Normal,Few,Expensive
1331,23,1,Дарницький,494,1,classic,20776,Small,Low,Near,Few,Cheap
1332,86,14,Голосіївський,1462,3,fashion,24063,Large,High,Normal,Normal,Cheap
1333,22,1,Дарницький,450,1,new,86978,Small,Low,Near,Few,Expensive
1334,42,19,Оболонський,1434,3,fashion,22932,Normal,High,Normal,Normal,Cheap
